Year,Faculty,Department,Course.Title,Faculty.Member,Indicators,Questions,Q#,R_1,R_2,R_3,R_4,R_5,R6,R_7,R_8,R_9,R_10,R_11,R_12,R_13,R_14,R_15,R_16,R_17,R_18,R_19,R_20,R_21,R_22,R_23,R_24,R_25,R_26,R_27,R_28,R_29,R_30,R_31,R_32,R_33,R_34,R_35,R_36,R_37,R_38,R_39,R_40,R_41,R_42,R_43,R_44,R_45,R_46,R_47,R_48,R_49,R_50,R_51,R_52,R_53,R_54,R_55,R_56,R_57,R_58,R_59,R_60,R_61,R_62,R_63,R_64,R_65,R_66,R_67,R_68,R_69,R_70,R_71,R_72,R_73,R_74,R_75,R_76,R_77,R_78,R_79,R_80,R_81,R_82,R_83,R_84,R_85,R_86,R_87,R_88,R_89,R_90,R_91,R_92,R_93,R_94,R_95,R_96,R_97,R_98,R_99,R_100
2016,,SWE,AIC,Sir Zeeshan Bhatti,Faculty.Eval,The Teacher shows respect towards students and encourages class participation,33,5,4,NA,5,4,4,5,5,4,5,5,4,4,4,4,2,4,4,4,4,5,4,4,1,4,4,4,5,4,4,5,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,,SWE,AIC,Sir Zeeshan Bhatti,Faculty.Eval,The Teacher maintains an environment that is conducive to learning,34,5,4,NA,5,4,NA,4,5,3,5,5,4,4,4,4,3,4,4,4,3,5,4,4,1,2,5,5,5,4,2,4,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,,SWE,AIC,Sir Zeeshan Bhatti,Faculty.Eval,The Teacher arrives on time ,35,5,4,NA,5,4,4,2,5,5,5,5,4,4,4,4,4,4,4,4,3,5,5,4,2,4,4,5,5,4,4,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,,SWE,AIC,Sir Zeeshan Bhatti,Faculty.Eval,The Teacher leaves on time,36,5,3,NA,5,4,4,4,5,5,5,5,4,4,4,4,5,4,4,4,4,5,5,4,2,4,3,5,5,3,4,5,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,,SWE,AIC,Sir Zeeshan Bhatti,Faculty.Eval,The Teacher is fair in examination,37,5,2,NA,5,4,4,4,5,4,5,4,4,4,4,4,4,4,4,4,4,5,4,4,1,4,4,4,5,3,4,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,,SWE,AIC,Sir Zeeshan Bhatti,Faculty.Eval,The Teacher returns the graded scripts etc. in  a reasonable amount of time,38,5,3,NA,3,4,4,3,5,4,5,4,4,4,4,4,4,4,4,4,4,5,5,4,1,4,4,4,5,4,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,,SWE,AIC,Sir Zeeshan Bhatti,Faculty.Eval,The Teacher was available during the specified office hours and for after class consultations,39,5,3,NA,5,4,4,4,5,3,5,4,4,4,4,4,4,4,4,4,3,5,5,4,2,1,3,5,5,4,4,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,,SWE,AIC,Sir Zeeshan Bhatti,Tutorial,The material in the tutorials was useful,40,4,4,4,5,4,4,4,NA,4,5,4,5,4,4,5,3,4,4,4,4,5,5,4,1,2,4,5,5,4,4,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,,SWE,AIC,Sir Zeeshan Bhatti,Tutorial,I was happy with the amount of work needed for tutorials,41,3,4,2,5,4,4,5,NA,3,4,5,4,4,4,5,4,3,4,4,4,4,4,4,2,4,4,3,5,3,4,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,,SWE,AIC,Sir Zeeshan Bhatti,Tutorial,The Teacher dealt effectively with my problems,42,2,3,4,5,4,4,5,NA,4,5,4,4,4,4,4,4,4,4,4,2,4,4,4,2,NA,4,5,5,3,4,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,,SWE,AIC,Sir Zeeshan Bhatti,Practical,The material in the practical was useful,43,2,4,4,4,4,4,4,NA,2,5,4,4,4,4,4,4,4,4,4,4,4,4,4,1,NA,4,5,5,3,4,5,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,,SWE,AIC,Sir Zeeshan Bhatti,Practical,The Teacher dealt effectively with my problems during practicals.,44,2,4,2,4,4,4,4,NA,1,4,4,4,4,4,4,4,4,4,3,2,4,4,4,1,NA,4,NA,5,3,4,5,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,,SWE,AIC,Sir Zeeshan Bhatti,Full.Part.Time,Full.Part.Time,45,4,4,5,4,5,NA,4,5,4,5,NA,5,5,4,5,4,NA,5,4,5,5,5,5,5,NA,4,4,5,NA,4,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,,SWE,AIC,Sir Zeeshan Bhatti,Gender,Gender,46,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,NA,5,5,5,4,4,5,5,NA,5,5,5,5,5,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,,SWE,AIC,Sir Zeeshan Bhatti,Age.Grp,Age.Grp,47,5,5,5,4,3,NA,4,4,4,4,4,5,4,5,5,4,NA,4,5,4,4,4,4,4,NA,5,5,4,NA,4,5,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,,SWE,Computer Graphiscs,Dr. Niyaz Arijo,Course-Content&Organization,The course objectives were clear,1,3,5,3,2,2,2,4,2,4,2,2,5,4,4,5,5,4,3,2,4,4,2,4,4,4,5,5,3,2,5,4,4,2,4,5,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,SWE,Computer Graphiscs,Dr. Niyaz Arijo,Course-Content&Organization,The Course workload was manageable,2,3,5,3,4,2,2,4,3,3,2,2,3,4,5,5,4,3,3,2,4,4,3,5,4,3,4,4,4,2,4,4,4,3,4,5,5,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,SWE,Computer Graphiscs,Dr. Niyaz Arijo,Course-Content&Organization,"The Course was well organized (e.g. timely access to materials, notification of changes, etc.)",3,4,5,3,4,2,2,3,2,3,2,2,3,4,4,4,1,3,3,2,4,4,2,5,4,4,4,5,3,2,4,4,4,2,4,4,5,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,SWE,Computer Graphiscs,Dr. Niyaz Arijo,Stud.Contribution,Approximate level of your own attendance during the whole Course ,4,5,1,2,2,4,1,3,3,1,,5,3,1,1,4,1,2,2,3,5,2,3,1,1,2,1,2,1,3,1,4,2,2,4,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,SWE,Computer Graphiscs,Dr. Niyaz Arijo,Stud.Contribution,I participated actively in the Course,5,4,5,3,4,3,,4,3,5,3,5,2,4,4,3,4,3,3,3,2,4,3,5,3,4,5,3,4,2,4,,4,2,4,5,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,SWE,Computer Graphiscs,Dr. Niyaz Arijo,Stud.Contribution,I think I have made progress in this Course,6,4,5,3,4,2,,4,2,5,2,5,3,4,5,3,4,2,3,3,2,4,2,5,2,4,4,3,3,2,5,5,4,2,4,5,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,SWE,Computer Graphiscs,Dr. Niyaz Arijo,Environment,"I think the Course was well structured to achieve the learning outcomes (there was a good balance of lectures, tutorials, practical etc.)",7,3,5,3,4,3,5,4,4,4,2,1,1,4,2,3,4,3,3,3,2,4,4,5,4,5,4,4,2,2,4,4,4,4,4,5,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,SWE,Computer Graphiscs,Dr. Niyaz Arijo,Environment,The learning and teaching methods encouraged participation.,8,4,5,3,4,2,3,3,2,3,2,1,4,4,4,3,4,3,3,2,2,3,3,5,4,4,4,3,3,2,4,4,4,2,4,5,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,SWE,Computer Graphiscs,Dr. Niyaz Arijo,Environment,The overall environment in the class was conducive to learning.,9,2,5,3,2,3,3,3,1,2,2,1,2,4,2,3,2,3,3,4,2,4,2,5,4,4,3,4,3,2,2,4,4,2,4,4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,SWE,Computer Graphiscs,Dr. Niyaz Arijo,Environment,Classrooms were satisfactory,10,4,5,3,4,5,3,3,4,5,2,1,4,4,4,5,2,4,4,4,2,4,3,5,4,4,3,5,4,2,2,4,4,4,3,,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,SWE,Computer Graphiscs,Dr. Niyaz Arijo,Resources,"Learning materials (Lesson Plans, Course Notes etc.) were relevant and useful.",11,3,5,3,2,3,5,4,1,4,2,2,4,4,4,3,2,3,3,3,4,4,1,5,4,4,5,4,4,2,2,4,4,1,4,4,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,SWE,Computer Graphiscs,Dr. Niyaz Arijo,Resources,Recommended reading Books etc. were relevant and appropriate,12,4,5,3,4,2,5,4,3,3,2,1,3,4,5,3,4,4,4,3,4,4,3,5,3,4,5,4,4,2,2,4,4,3,4,,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,SWE,Computer Graphiscs,Dr. Niyaz Arijo,Resources,The provision of learning resources in the library was adequate and appropriate ,13,4,5,3,4,3,1,4,4,2,2,2,3,4,2,5,4,4,4,4,4,4,4,5,4,3,4,2,4,2,2,4,4,4,5,5,5,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,SWE,Computer Graphiscs,Dr. Niyaz Arijo,Resources,The provision of learning resources on the Web was adequate and appropriate ( if relevant),14,4,5,3,2,2,1,3,2,3,2,1,2,4,3,3,3,4,4,3,4,4,2,5,4,4,3,3,4,2,2,4,4,1,4,5,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,SWE,Computer Graphiscs,Dr. Niyaz Arijo,Quality.of.Delivery,The Course stimulated my interest and thought on the subject area,15,3,5,3,4,3,3,2,2,3,2,1,2,4,4,3,4,3,3,4,2,4,2,4,4,4,3,2,3,2,2,4,4,1,4,,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,SWE,Computer Graphiscs,Dr. Niyaz Arijo,Quality.of.Delivery,The pace of the Course was appropriate,16,4,5,3,2,2,3,2,3,4,2,1,3,4,2,4,2,4,3,3,2,5,3,5,4,4,4,4,3,2,2,4,4,3,4,5,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,SWE,Computer Graphiscs,Dr. Niyaz Arijo,Quality.of.Delivery,Ideas and concepts were presented clearly,17,4,5,3,4,2,1,2,2,3,2,1,4,4,2,3,2,3,3,2,2,5,2,5,3,3,3,4,3,2,2,4,4,1,4,5,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,SWE,Computer Graphiscs,Dr. Niyaz Arijo,Assessment,The method of assessment were reasonable ,18,5,5,5,,3,2,2,2,4,2,1,1,4,2,3,2,3,4,4,2,4,3,4,5,5,4,4,4,2,1,4,4,3,4,,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,SWE,Computer Graphiscs,Dr. Niyaz Arijo,Assessment,Feedback on assessment was timely,19,5,5,4,,3,2,2,3,2,2,1,2,4,2,3,2,3,3,4,2,4,2,4,5,5,3,4,3,2,1,5,4,2,4,5,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,SWE,Computer Graphiscs,Dr. Niyaz Arijo,Assessment,Feedback on assessment was helpful,20,4,5,4,,3,2,2,2,2,2,1,2,4,2,3,2,3,3,4,4,4,3,4,5,5,4,4,3,2,2,4,4,2,4,5,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,SWE,Computer Graphiscs,Dr. Niyaz Arijo,Faculty.Eval,I understood the lectures,21,4,5,3,4,3,3,2,3,4,2,,1,4,2,3,2,3,3,3,4,5,3,4,5,4,5,5,4,2,3,5,4,1,4,4,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,SWE,Computer Graphiscs,Dr. Niyaz Arijo,Faculty.Eval,The material was well organized and presented,22,4,5,3,4,2,3,2,2,3,2,,1,4,2,3,2,3,3,3,4,5,2,5,5,3,4,4,3,2,3,4,4,2,4,4,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,SWE,Computer Graphiscs,Dr. Niyaz Arijo,Faculty.Eval,The Teacher was responsive to student needs and problems,23,4,5,3,2,3,3,2,4,2,2,,1,3,2,3,4,3,3,3,2,5,3,5,5,3,4,4,3,2,3,5,4,2,4,4,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,SWE,Computer Graphiscs,Dr. Niyaz Arijo,Faculty.Eval,Had the Teacher been regular throughout the course?,24,4,5,4,4,2,3,2,4,2,2,,2,4,2,4,4,4,4,3,2,,3,5,4,4,4,4,4,2,3,4,4,2,4,5,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,SWE,Computer Graphiscs,Dr. Niyaz Arijo,Faculty.Eval,The Teacher provides the Lecture schedule on the very first lecture,25,3,5,4,4,2,2,2,2,3,2,,1,4,3,4,4,3,3,2,2,5,4,4,4,5,4,4,3,2,3,3,4,3,5,5,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,SWE,Computer Graphiscs,Dr. Niyaz Arijo,Faculty.Eval,The Teacher provides the Lecture outlines before delivering the lecture,26,4,5,3,4,2,2,2,2,2,3,,1,4,3,,2,4,3,2,2,4,2,2,3,4,3,2,3,2,3,2,4,4,5,5,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,SWE,Computer Graphiscs,Dr. Niyaz Arijo,Faculty.Eval,The Teacher is prepared for each class,27,4,5,5,3,3,1,2,3,4,3,,3,4,4,4,4,4,3,4,2,4,3,5,2,4,4,4,3,2,3,4,4,4,4,5,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,SWE,Computer Graphiscs,Dr. Niyaz Arijo,Faculty.Eval,The Teacher demonstrates knowledge of the subject,28,3,5,3,4,3,1,2,3,4,3,,3,4,3,3,2,3,3,4,2,4,2,4,2,3,4,4,4,2,3,5,4,4,5,3,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,SWE,Computer Graphiscs,Dr. Niyaz Arijo,Faculty.Eval,The Teacher has completed the whole course,29,4,5,5,4,3,1,2,2,4,3,,2,4,2,4,2,2,3,4,2,4,4,5,3,3,5,5,3,4,3,2,4,5,5,5,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,SWE,Computer Graphiscs,Dr. Niyaz Arijo,Faculty.Eval,The Teacher provides additional material apart from the textbook,30,4,5,3,2,2,3,2,2,3,3,,1,4,2,3,3,2,4,3,2,5,3,3,4,4,4,5,4,4,,2,4,5,4,5,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,SWE,Computer Graphiscs,Dr. Niyaz Arijo,Faculty.Eval,The Teacher gives citations regarding current situations with reference to Pakistani context.,31,4,5,3,4,2,1,2,1,3,3,,5,4,4,4,2,2,4,3,2,5,2,3,5,4,3,4,3,4,4,4,4,4,5,4,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,SWE,Computer Graphiscs,Dr. Niyaz Arijo,Faculty.Eval,The Teacher communicates the subject matter effectively,32,3,5,3,2,2,2,2,3,3,3,,4,4,4,3,,3,3,2,2,5,4,5,4,3,3,4,3,4,4,4,4,3,5,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,SWE,Computer Graphiscs,Dr. Niyaz Arijo,Faculty.Eval,The Teacher shows respect towards students and encourages class participation,33,4,5,3,2,4,2,2,4,3,4,,3,4,,4,4,3,3,2,2,4,3,5,3,3,4,4,4,4,4,2,4,2,5,5,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,SWE,Computer Graphiscs,Dr. Niyaz Arijo,Faculty.Eval,The Teacher maintains an environment that is conducive to learning,34,4,5,3,,3,,2,3,3,4,,3,4,2,3,,4,3,3,2,4,2,5,3,4,3,5,3,4,4,5,4,1,4,5,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,SWE,Computer Graphiscs,Dr. Niyaz Arijo,Faculty.Eval,The Teacher arrives on time ,35,4,5,3,4,2,2,2,4,2,3,,4,4,4,,3,4,4,3,2,4,3,5,3,4,5,4,4,4,4,4,4,2,4,4,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,SWE,Computer Graphiscs,Dr. Niyaz Arijo,Faculty.Eval,The Teacher leaves on time,36,4,5,3,4,4,,2,4,3,3,,1,4,2,4,4,4,4,4,2,4,4,5,4,5,5,4,4,4,4,4,4,3,4,2,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,SWE,Computer Graphiscs,Dr. Niyaz Arijo,Faculty.Eval,The Teacher is fair in examination,37,4,5,3,4,3,2,2,4,2,4,,1,4,4,,3,3,4,4,2,4,2,5,4,3,4,4,3,2,4,4,4,4,3,5,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,SWE,Computer Graphiscs,Dr. Niyaz Arijo,Faculty.Eval,The Teacher returns the graded scripts etc. in  a reasonable amount of time,38,3,5,3,4,3,1,2,3,1,3,,5,4,3,4,,3,4,3,2,5,2,5,4,4,4,4,3,2,4,4,4,5,3,4,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,SWE,Computer Graphiscs,Dr. Niyaz Arijo,Faculty.Eval,The Teacher was available during the specified office hours and for after class consultations,39,3,5,3,4,2,1,2,5,1,4,,1,4,4,3,4,4,3,3,2,5,3,5,4,2,3,4,3,2,4,4,4,5,3,4,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,SWE,Computer Graphiscs,Dr. Niyaz Arijo,Tutorial,The material in the tutorials was useful,40,3,5,3,4,3,2,2,2,3,4,1,3,4,4,3,4,3,3,3,2,5,2,5,4,3,4,4,3,2,4,5,4,1,4,5,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,SWE,Computer Graphiscs,Dr. Niyaz Arijo,Tutorial,I was happy with the amount of work needed for tutorials,41,3,5,3,2,2,1,2,2,3,3,1,4,4,3,,2,3,3,3,2,5,3,5,4,3,3,4,3,2,3,5,4,2,4,,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,SWE,Computer Graphiscs,Dr. Niyaz Arijo,Tutorial,The Teacher dealt effectively with my problems,42,4,5,3,4,3,1,2,3,3,4,1,5,4,2,4,2,3,3,4,2,5,3,5,2,4,4,3,3,2,3,4,4,2,4,5,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,SWE,Computer Graphiscs,Dr. Niyaz Arijo,Practical,The material in the practical was useful,43,4,5,3,4,3,1,4,2,4,2,1,,4,4,3,4,3,3,3,2,5,4,4,4,5,2,3,3,2,2,4,4,2,4,5,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,SWE,Computer Graphiscs,Dr. Niyaz Arijo,Practical,The Teacher dealt effectively with my problems during practicals.,44,4,5,3,4,3,,4,3,3,3,1,,4,2,4,3,3,3,3,2,5,3,4,4,4,1,2,3,2,2,4,4,2,4,2,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
